,time,t,fricv,gflux,u10,v10
0,2020-10-01 00:00:00,287.5212,0.05,80.0,-1.5724287,0.95224
1,2020-10-01 01:00:00,286.62656,0.05,72.0,-1.9916487,-0.38927078
2,2020-10-01 02:00:00,286.08215,0.04,63.0,-1.5822821,-0.4881363
3,2020-10-01 03:00:00,285.82416,0.08,66.0,-2.3393536,0.019352913
4,2020-10-01 04:00:00,285.6392,0.078,67.0,-2.3093405,-0.3146839
5,2020-10-01 05:00:00,285.5339,0.06,71.0,-2.1068878,-0.52416897
6,2020-10-01 06:00:00,285.3497,0.06,66.0,-2.0819426,-0.59297943
7,2020-10-01 07:00:00,285.10544,0.05,53.0,-1.8305912,-0.48322678
8,2020-10-01 08:00:00,284.8184,0.05,54.0,-1.8263073,-0.21183777
9,2020-10-01 09:00:00,284.6603,0.06,51.0,-2.0123997,-0.1352005
10,2020-10-01 10:00:00,284.36456,0.12,51.0,-2.4037418,-0.6509228
11,2020-10-01 11:00:00,283.94855,0.11,46.0,-2.5609493,-0.3308649
12,2020-10-01 12:00:00,286.1524,0.17,-10.0,-1.861043,-0.07137203
13,2020-10-01 13:00:00,290.17535,0.19,-63.0,0.64341354,1.5709381
14,2020-10-01 14:00:00,293.31238,0.26,-80.0,1.8285227,1.3395357
15,2020-10-01 15:00:00,295.7019,0.325,-88.0,2.7892275,1.1054134
16,2020-10-01 16:00:00,297.00912,0.327,-86.0,2.5354586,1.5740938
17,2020-10-01 17:00:00,297.57397,0.379,-72.0,3.0775166,1.956912
18,2020-10-01 18:00:00,297.6225,0.365,-40.0,3.0621262,1.8639727
19,2020-10-01 19:00:00,296.99786,0.316,-20.0,2.5472174,1.6893663
20,2020-10-01 20:00:00,295.84195,0.275,-10.0,1.9373951,1.9586802
21,2020-10-01 21:00:00,293.86322,0.211,25.0,1.6998444,1.82936
22,2020-10-01 22:00:00,291.7849,0.035,52.0,1.0401077,0.7903662
23,2020-10-01 23:00:00,289.22943,0.018,70.0,0.6175432,0.19586468
24,2020-10-02 00:00:00,287.7361,0.016,70.0,-0.5632696,-0.0041561127
25,2020-10-02 01:00:00,286.54724,0.031,61.0,-1.176197,-0.041861534
26,2020-10-02 02:00:00,285.74344,0.04,60.0,-1.0469189,-0.8025427
27,2020-10-02 03:00:00,284.90262,0.03,62.0,-0.10724449,-1.0682421
28,2020-10-02 04:00:00,284.54163,0.04,39.0,-0.23514175,-1.4949579
29,2020-10-02 05:00:00,285.71823,0.03,37.0,0.12652397,-1.1776981
30,2020-10-02 06:00:00,286.4094,0.03,34.0,0.41069221,-1.0188274
31,2020-10-02 07:00:00,286.2692,0.08,28.0,0.8394604,-1.4538889
32,2020-10-02 08:00:00,285.95242,0.1,19.0,-1.5298729,0.88134766
33,2020-10-02 09:00:00,285.80786,0.03,9.0,-0.776597,0.8251934
34,2020-10-02 10:00:00,285.669,0.03,8.0,-0.95243835,-0.49898338
35,2020-10-02 11:00:00,285.29935,0.01,9.0,-0.38781548,-0.3342371
36,2020-10-02 12:00:00,285.39813,0.09,-8.0,-0.9738388,-0.30472374
37,2020-10-02 13:00:00,286.117,0.08,-46.0,-0.27463913,0.44686413
38,2020-10-02 14:00:00,286.8476,0.1,8.0,-0.003230095,0.5887947
39,2020-10-02 15:00:00,288.0244,0.129,-39.0,0.12337971,0.8081856
40,2020-10-02 16:00:00,288.49005,0.245,-19.0,2.0785656,0.54210854
41,2020-10-02 17:00:00,288.72632,0.267,-21.0,2.3526306,0.52636814
42,2020-10-02 18:00:00,291.48746,0.233,-88.0,1.8236046,0.59719086
43,2020-10-02 19:00:00,292.9879,0.244,-70.0,2.0528812,-0.033405304
44,2020-10-02 20:00:00,292.80353,0.239,-30.0,2.0582829,-0.2570629
45,2020-10-02 21:00:00,291.08105,0.215,20.0,2.1004972,-0.40171814
46,2020-10-02 22:00:00,288.94156,0.034,35.0,1.2290401,-0.45072556
47,2020-10-02 23:00:00,285.888,0.03,56.0,0.48557281,-0.9864664
48,2020-10-03 00:00:00,284.1536,0.056,50.0,1.162468,-1.7179222
49,2020-10-03 01:00:00,282.90527,0.06,43.0,1.0654345,-1.9498606
50,2020-10-03 02:00:00,282.1196,0.068,56.0,1.5016079,-1.827755
51,2020-10-03 03:00:00,281.58612,0.102,53.0,1.0581236,-2.5400438
52,2020-10-03 04:00:00,281.25366,0.123,52.0,1.5815983,-2.3632917
53,2020-10-03 05:00:00,281.0481,0.14,48.0,1.1337795,-2.544136
54,2020-10-03 06:00:00,280.6129,0.11,57.0,1.5364599,-2.0497074
55,2020-10-03 07:00:00,279.93488,0.05,61.0,1.0190496,-1.7601728
56,2020-10-03 08:00:00,279.33182,0.06,59.0,0.93636703,-2.0337696
57,2020-10-03 09:00:00,279.1096,0.054,52.0,1.0124454,-1.75208
58,2020-10-03 10:00:00,279.31726,0.05,42.0,1.2421408,-1.4826975
59,2020-10-03 11:00:00,279.4036,0.039,41.0,1.1521482,-0.9386835
60,2020-10-03 12:00:00,281.63043,0.039,-25.0,0.85078907,-1.0465698
61,2020-10-03 13:00:00,286.1895,0.121,-76.0,0.7003164,-0.32147694
62,2020-10-03 14:00:00,289.62955,0.179,-88.0,0.96644306,-0.7151165
63,2020-10-03 15:00:00,292.33008,0.2,-81.0,1.2081728,-0.6249628
64,2020-10-03 16:00:00,294.19366,0.177,-77.0,1.0153952,-0.18312263
65,2020-10-03 17:00:00,294.78027,0.23,-40.0,1.5837774,0.43247223
66,2020-10-03 18:00:00,294.91772,0.283,-40.0,2.3037243,0.46314144
67,2020-10-03 19:00:00,294.0046,0.295,0.0,2.645255,0.27791977
68,2020-10-03 20:00:00,292.68484,0.32,26.0,3.1335917,0.40762138
69,2020-10-03 21:00:00,290.54578,0.32,53.0,2.597786,-2.2978506
70,2020-10-03 22:00:00,287.45496,0.054,66.0,1.4296532,-1.185441
71,2020-10-03 23:00:00,285.05988,0.052,70.0,0.68243885,-1.8518505
72,2020-10-04 00:00:00,283.50757,0.043,60.0,0.7789068,-1.4380198
73,2020-10-04 01:00:00,282.52716,0.037,53.0,0.4418478,-1.3392506
74,2020-10-04 02:00:00,281.6219,0.04,56.0,1.1650352,-0.88116837
75,2020-10-04 03:00:00,280.696,0.04,58.0,1.3615904,-0.90999794
76,2020-10-04 04:00:00,279.91614,0.05,60.0,1.6254711,-1.0758362
77,2020-10-04 05:00:00,279.1441,0.05,60.0,1.5348492,-1.1012058
78,2020-10-04 06:00:00,278.53152,0.05,56.0,1.2464371,-1.5366268
79,2020-10-04 07:00:00,277.97638,0.06,58.0,1.4559469,-1.547142
80,2020-10-04 08:00:00,277.77884,0.04,58.0,0.877368,-1.2802486
81,2020-10-04 09:00:00,277.3186,0.04,58.0,1.0655403,-0.9787407
82,2020-10-04 10:00:00,276.90155,0.03,65.0,1.0333948,-0.69904137
83,2020-10-04 11:00:00,276.74536,0.04,54.0,1.2279015,-0.9572468
84,2020-10-04 12:00:00,279.03247,0.04,-24.0,1.0557728,-1.0110703
85,2020-10-04 13:00:00,284.33374,0.11,-101.0,0.18487167,-0.67080593
86,2020-10-04 14:00:00,288.78052,0.1,-127.0,-0.36603737,0.3166256
87,2020-10-04 15:00:00,292.10693,0.12,-116.0,-0.32668304,0.529089
88,2020-10-04 16:00:00,294.35626,0.03,-125.0,-0.032154083,0.344841
89,2020-10-04 17:00:00,294.72552,0.17,-62.0,-0.64374065,0.81043243
90,2020-10-04 18:00:00,294.82184,0.24,-36.0,-1.5407829,0.9983978
91,2020-10-04 19:00:00,294.15454,0.23,-13.0,-1.5816822,0.8679638
92,2020-10-04 20:00:00,292.83362,0.23,20.0,-1.9430752,0.74952126
93,2020-10-04 21:00:00,290.68604,0.2,40.0,-1.8968868,0.6424217
94,2020-10-04 22:00:00,288.1487,0.03,60.0,-1.0101051,-0.05246353
95,2020-10-04 23:00:00,285.50864,0.02,69.0,-0.54902077,-0.76566124
96,2020-10-05 00:00:00,284.89578,0.02,74.0,-0.44976044,0.3681221
97,2020-10-05 01:00:00,284.35742,0.01,88.0,-0.16934586,0.33525276
98,2020-10-05 02:00:00,283.71423,0.02,65.0,-0.541214,0.1785183
99,2020-10-05 03:00:00,282.56705,0.02,68.0,-0.49455452,0.52220726
100,2020-10-05 04:00:00,281.8964,0.01,67.0,-0.08576393,0.039445877
101,2020-10-05 05:00:00,281.20514,0.03,61.0,0.7335167,-0.81955147
102,2020-10-05 06:00:00,280.80713,0.05,51.0,1.5338364,-1.0071526
103,2020-10-05 07:00:00,280.54385,0.08,49.0,2.303234,-1.0342331
104,2020-10-05 08:00:00,280.67578,0.08,43.0,2.3179092,-1.0384293
105,2020-10-05 09:00:00,280.5474,0.11,46.0,2.7604256,-0.75717354
106,2020-10-05 10:00:00,280.61105,0.09,36.0,1.8671036,-1.5009708
107,2020-10-05 11:00:00,281.5198,0.1,34.0,2.0239544,-0.9887428
108,2020-10-05 12:00:00,283.43475,0.12,-23.0,1.5903597,-0.78195
109,2020-10-05 13:00:00,287.6846,0.17,-81.0,1.1078663,-0.91503143
110,2020-10-05 14:00:00,291.79745,0.14,-123.0,0.5599804,-0.6563015
111,2020-10-05 15:00:00,294.28305,0.23,-97.0,0.77288055,-1.4100037
112,2020-10-05 16:00:00,295.97537,0.22,-69.0,0.9554596,-1.1266766
113,2020-10-05 17:00:00,297.06064,0.23,-59.0,0.9634924,-1.3230324
114,2020-10-05 18:00:00,297.52762,0.14,-70.0,0.49569988,-0.56480217
115,2020-10-05 19:00:00,296.81833,0.15,-30.0,0.8366699,0.06356907
116,2020-10-05 20:00:00,295.93878,0.09,-8.0,0.39606857,0.15315914
117,2020-10-05 21:00:00,293.31937,0.11,33.0,0.2163639,0.7132387
118,2020-10-05 22:00:00,290.1726,0.1,70.0,-1.1197853,1.2164135
119,2020-10-05 23:00:00,287.82993,0.03,74.0,-1.1748505,0.047218323
120,2020-10-06 00:00:00,286.70554,0.04,75.0,-1.5632362,-0.4500742
121,2020-10-06 01:00:00,285.92926,0.06,77.0,-1.93816,0.024965286
122,2020-10-06 02:00:00,285.22858,0.13,72.0,-2.1681957,-0.8146095
123,2020-10-06 03:00:00,284.72852,0.12,60.0,-1.9900131,-0.093001366
124,2020-10-06 04:00:00,284.2201,0.09,50.0,-1.8727684,-0.21029758
125,2020-10-06 05:00:00,284.5301,0.1,28.0,-1.6269588,-0.116007805
126,2020-10-06 06:00:00,285.0279,0.13,55.0,-1.2748432,0.21396065
127,2020-10-06 07:00:00,285.28702,0.07,-5.0,-0.9195337,0.16511726
128,2020-10-06 08:00:00,284.87057,0.02,-2.0,-0.71484566,0.2034626
129,2020-10-06 09:00:00,283.63974,0.03,33.0,-1.1196966,0.1548996
130,2020-10-06 10:00:00,284.54187,0.09,19.0,-1.5608921,0.41429043
131,2020-10-06 11:00:00,283.74292,0.04,15.0,-0.9031601,1.0288925
132,2020-10-06 12:00:00,285.5167,0.05,-34.0,-0.19282818,0.28265667
133,2020-10-06 13:00:00,287.07083,0.14,-35.0,-0.12772846,1.1177349
134,2020-10-06 14:00:00,289.27374,0.18,-74.0,-0.49039268,1.3423338
135,2020-10-06 15:00:00,292.38333,0.31,-63.0,0.25364017,2.8108873
136,2020-10-06 16:00:00,292.4619,0.37,-72.0,0.6813097,3.8282318
137,2020-10-06 17:00:00,296.0423,0.38,-82.0,1.1404877,3.455553
138,2020-10-06 18:00:00,296.91028,0.38,-40.0,0.7891903,3.469841
139,2020-10-06 19:00:00,296.3046,0.39,-24.0,1.120018,3.5797062
140,2020-10-06 20:00:00,295.15283,0.38,10.0,0.81875706,3.7256517
141,2020-10-06 21:00:00,292.87704,0.3,40.0,1.0410032,3.037527
142,2020-10-06 22:00:00,289.9001,0.08,60.0,-0.11381245,2.045414
143,2020-10-06 23:00:00,287.2429,0.05,73.0,-0.93910885,1.5461178
144,2020-10-07 00:00:00,285.8815,0.05,71.0,-1.6348572,0.50097656
145,2020-10-07 01:00:00,285.2266,0.096,63.0,-2.6442223,0.2553482
146,2020-10-07 02:00:00,284.82388,0.17,60.0,-3.106245,-0.09157562
147,2020-10-07 03:00:00,284.66187,0.14,58.0,-2.6771212,-0.20420456
148,2020-10-07 04:00:00,284.96167,0.08,60.0,-2.322463,-0.50860023
