time,t,fricv,shtfl,sp,u10,v10
2020-11-01 00:00:00,273.914,0.03,-2.0,101160.0,0.32319927,1.1446648
2020-11-01 01:00:00,273.05426,0.04,-2.0,101140.0,1.0453758,0.93034744
2020-11-01 02:00:00,272.62854,0.05,-2.0,101090.0,1.1729078,1.0896091
2020-11-01 03:00:00,272.56128,0.03,-1.0,101020.0,1.0878019,0.58804893
2020-11-01 04:00:00,272.59564,0.03,-1.0,100970.0,0.87431717,0.6845875
2020-11-01 05:00:00,272.62497,0.03,-1.0,100910.0,0.99995804,0.818203
2020-11-01 06:00:00,272.91333,0.05,-3.0,100820.0,1.2280378,1.1785755
2020-11-01 07:00:00,272.65363,0.05,-3.0,100770.0,1.1540661,1.3301926
2020-11-01 08:00:00,272.85077,0.03,-2.0,100660.0,0.83782196,0.9796543
2020-11-01 09:00:00,273.2787,0.04,-2.0,100560.0,1.269558,-0.60491943
2020-11-01 10:00:00,273.56305,0.05,-3.0,100460.0,1.4621048,-1.0534554
2020-11-01 11:00:00,273.4374,0.05,-5.0,100330.0,1.8951263,-0.5172119
2020-11-01 12:00:00,274.8932,0.05,-3.0,100210.0,1.771553,0.45238876
2020-11-01 13:00:00,277.35632,0.06,12.0,100140.0,0.52682304,0.06257439
2020-11-01 14:00:00,280.13788,0.17,18.0,99990.0,-0.30478096,2.3729439
2020-11-01 15:00:00,282.81396,0.31,30.0,99780.0,0.057683945,4.3768215
2020-11-01 16:00:00,284.2069,0.37,30.0,99620.0,-0.073005676,5.3227615
2020-11-01 17:00:00,283.37125,0.34,10.0,99450.0,-0.38151836,4.918392
2020-11-01 18:00:00,282.64227,0.26,30.0,99330.0,-0.5919552,3.5052643
2020-11-01 19:00:00,281.92258,0.26,0.0,99070.0,-0.8424187,3.9617596
2020-11-01 20:00:00,281.4778,0.15,-10.0,98990.0,-0.2794199,2.5375118
2020-11-01 21:00:00,281.1372,0.02,0.0,98880.0,0.69604397,0.28308678
2020-11-01 22:00:00,280.85828,0.09,-10.0,98740.0,1.8670044,1.4542675
2020-11-01 23:00:00,281.36325,0.17,-20.0,98710.0,1.7856503,2.5064812
2020-11-02 00:00:00,280.75635,0.17,-19.0,98750.0,2.7787876,1.2159367
