time,t,fricv,shtfl,sp,u10,v10
2020-11-01 00:00:00,273.7265,0.21,-31.0,98430.0,-1.7393007,2.8321648
2020-11-01 01:00:00,273.42926,0.27,-42.0,98340.0,-2.1421242,3.1803474
2020-11-01 02:00:00,273.31604,0.38,-55.0,98300.0,-2.7020922,3.8396091
2020-11-01 03:00:00,272.99878,0.4,-60.0,98250.0,-2.912198,3.963049
2020-11-01 04:00:00,272.84564,0.38,-55.0,98150.0,-2.8131828,3.8720875
2020-11-01 05:00:00,272.99997,0.4,-56.0,98060.0,-3.187542,3.755703
2020-11-01 06:00:00,273.10083,0.41,-60.0,97960.0,-3.3969622,3.7410755
2020-11-01 07:00:00,273.34113,0.4,-69.0,97880.0,-2.845934,4.0801926
2020-11-01 08:00:00,274.85077,0.51,-49.0,97770.0,-2.662178,5.2921543
2020-11-01 09:00:00,275.4037,0.52,-58.0,97640.0,-2.730442,5.3950806
2020-11-01 10:00:00,276.06305,0.58,-53.0,97520.0,-2.7253952,6.1340446
2020-11-01 11:00:00,276.6249,0.54,-52.0,97400.0,-2.7923737,5.670288
2020-11-01 12:00:00,277.2057,0.62,-51.0,97260.0,-3.228447,6.452389
2020-11-01 13:00:00,278.23132,0.59,1.0,97180.0,-2.848177,6.1250744
2020-11-01 14:00:00,279.70038,0.63,50.0,97040.0,-2.867281,6.372944
2020-11-01 15:00:00,280.93896,0.64,70.0,96860.0,-3.192316,6.3143215
2020-11-01 16:00:00,282.6444,0.62,110.0,96680.0,-3.1355057,6.0102615
2020-11-01 17:00:00,283.05875,0.6,120.0,96490.0,-2.6315184,5.980892
2020-11-01 18:00:00,282.89227,0.67,110.0,96340.0,-2.7794552,6.9427643
2020-11-01 19:00:00,282.04758,0.68,30.0,96220.0,-2.4049187,7.2742596
2020-11-01 20:00:00,281.6028,0.39,50.0,96290.0,3.28308,2.6000118
2020-11-01 21:00:00,279.0122,0.41,10.0,96510.0,4.633544,0.7830868
2020-11-01 22:00:00,277.17078,0.26,-10.0,96570.0,2.9920044,0.5167675
2020-11-01 23:00:00,276.23825,0.31,-30.0,96680.0,3.7856503,1.2564812
2020-11-02 00:00:00,276.00635,0.41,-30.0,96740.0,4.7787876,0.65343666
2020-11-02 01:00:00,275.15448,0.47,-28.0,96760.0,5.4733677,0.15190887
2020-11-02 02:00:00,273.26654,0.41,-40.0,96740.0,4.8746166,-0.026516914
2020-11-02 03:00:00,272.9049,0.32,-31.0,96670.0,3.8966427,0.6128683
2020-11-02 04:00:00,272.87836,0.31,-30.0,96590.0,3.6446056,1.2431498
2020-11-02 05:00:00,273.31503,0.44,-30.0,96550.0,5.068388,0.96323013
2020-11-02 06:00:00,273.38287,0.46,-30.0,96450.0,5.2682114,1.2191057
2020-11-02 07:00:00,273.5216,0.53,-20.0,96450.0,6.0893574,0.17320824
2020-11-02 08:00:00,273.30414,0.71,-20.0,96460.0,8.00016,-1.3621817
2020-11-02 09:00:00,272.99902,0.85,-20.0,96539.68,9.390598,-2.4872313
2020-11-02 10:00:00,272.94757,0.72,10.0,96660.0,7.990616,-2.2893066
2020-11-02 11:00:00,271.82974,0.76,-20.0,96800.0,8.349108,-2.5299568
2020-11-02 12:00:00,271.36258,0.7,-10.0,96890.0,7.6782,-2.365017
2020-11-02 13:00:00,270.89142,0.75,-30.0,97000.0,8.347269,-2.0658216
2020-11-02 14:00:00,270.96637,0.74,-20.0,97120.0,8.050875,-2.7992802
2020-11-02 15:00:00,271.6803,0.69,20.0,97150.0,7.39684,-2.6696367
2020-11-02 16:00:00,272.93762,0.66,40.0,97140.0,7.097559,-2.4603777
2020-11-02 17:00:00,273.92133,0.68,50.0,97120.0,7.5316906,-1.8978462
2020-11-02 18:00:00,276.56537,0.68,150.0,97120.0,7.4795895,-0.84395313
2020-11-02 19:00:00,276.47842,0.69,140.0,97110.0,7.621853,-0.9554672
2020-11-02 20:00:00,275.7774,0.56,50.0,97090.0,6.3004904,-0.13205338
2020-11-02 21:00:00,274.2441,0.5,-10.0,97080.0,5.655368,0.341177
2020-11-02 22:00:00,273.17874,0.35,-10.0,97050.0,3.8876648,1.1396627
2020-11-02 23:00:00,273.1481,0.29,-20.0,97010.0,2.912445,2.2415438
2020-11-03 00:00:00,273.48233,0.31,-20.0,96920.0,2.7409945,2.590661
2020-11-03 01:00:00,273.45575,0.21,-30.0,96800.0,2.262659,2.1583052
2020-11-03 02:00:00,273.36377,0.17,-30.0,96690.0,2.281126,1.9316969
2020-11-03 03:00:00,273.38635,0.06,-10.0,96670.0,1.8256111,1.0981054
2020-11-03 04:00:00,273.57574,0.07,-10.0,96640.0,1.9868336,1.2778902
2020-11-03 05:00:00,273.56393,0.18,-40.0,96620.0,3.2906694,1.1848183
2020-11-03 06:00:00,273.93063,0.22,-54.0,96560.0,3.80521,0.8671398
2020-11-03 07:00:00,274.60266,0.31,-73.0,96540.0,4.3007402,0.7722597
2020-11-03 08:00:00,275.38806,0.22,-40.0,96570.0,3.4795141,-0.106601715
2020-11-03 09:00:00,276.05402,0.42,-66.0,96620.0,5.045883,-0.6767092
2020-11-03 10:00:00,276.49237,0.55,-90.0,96750.0,6.3654165,-1.1685772
2020-11-03 11:00:00,276.90137,0.65,-101.0,96850.0,6.94281,-2.853877
